,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
652,2021/03/08 1:14:36 pm GMT+5:30,1,3,5,3,Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;A Department;Other,2,7,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;VSRC canteen;Dreamland,11AM-1PM;5PM-7PM;9PM-11PM,Other Halls of Residence;Library;Main Building;Tech Market,11pm-12am,UG,4th,Nehru Hall,ME
653,2021/03/08 1:14:50 pm GMT+5:30,3,3,2,5,Library;Main Building;Tech Market;Tata Sports Complex;Basketball/Tennis courts,2,1,Your own Hall Canteen;Subway,11AM-1PM;1PM-3PM;5PM-7PM;7PM-9PM,Library;Main Building;Nalanda Complex;Tech Market,11pm-12am,UG,2nd,LBS Hall,PH
654,2021/03/08 1:15:23 pm GMT+5:30,2,5,5,4,Gymkhana;Gymkhana Park;Library;Main Building;Other Hall of Residence;Tata Sports Complex;Basketball/Tennis courts;Vikramshila;Nalanda;2.2;Outside Campus;A Department;Other,3,6,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Veggies;Dreamland;Sahara;Super Duper;Tikka;Smart Pind,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Main Building;Tata Sports Complex;Tech Market;Outside Campus;Netaji Auditorium;A Department;Other,2am-3am,UG,3rd,Nehru Hall,
655,2021/03/08 1:16:09 pm GMT+5:30,1,3,1,3,Gymkhana Park;Library;Main Building;Nalanda;A Department;Nehru Museum,1,0,Your own Hall Canteen;I generally eat in my hall mess,5PM-7PM,Gymkhana Park;Library,9pm-10pm,UG,2nd,LBS Hall,GG
656,2021/03/08 1:16:36 pm GMT+5:30,4,2,5,5,Library;Main Building;Tech Market;Other Hall of Residence;Nalanda;2.2,2,5,Tikka,7PM-9PM;9PM-11PM,2.2;Library;Main Building;Tech Market;Basketball/Tennis Courts,12am-1am,UG,2nd,Nivedita Hall,GG
657,2021/03/08 1:16:37 pm GMT+5:30,3,4,3,1,Main Building;Tech Market;Other Hall of Residence,3,4,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Peep Kitchen;VSRC canteen,7PM-9PM,Other Halls of Residence;Tech Market,10pm-11pm,UG,3rd,Vidyasagar Hall,CH
658,2021/03/08 1:16:56 pm GMT+5:30,3,4,3,3,Gymkhana;Other Hall of Residence;Vikramshila;2.2;Outside Campus,2,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Veggies;Food City;Smart Pind;Subway,7PM-9PM;9PM-11PM,2.2;Main Building;Vikramshila;Tech Market;Netaji Auditorium;Nehru Museum,2am-3am,UG,2nd,Azad Hall,HS
659,2021/03/08 1:16:58 pm GMT+5:30,2,2,3,2,Main Building;Tech Market;2.2;Outside Campus;A Department,1,2,Tech Market,9AM-11AM;5PM-7PM;7PM-9PM,Tech Market,11pm-12am,PG,2nd,VSRC,ME
660,2021/03/08 1:17:18 pm GMT+5:30,4,1,0,0,Tech Market,1,3,Your own Hall Canteen,Never,I don't go anywhere,I usually stay in my room,PG,2nd,MMM Hall,CS
661,2021/03/08 1:17:21 pm GMT+5:30,2,2,5,4,Gymkhana;Library;Tech Market;A Department,1,2,Tech Market;Billoos,5PM-7PM,Gymkhana;Tech Market;Outside Campus,10pm-11pm,PG,2nd,MMM Hall,ME
662,2021/03/08 1:17:40 pm GMT+5:30,3,3,3,2,Gymkhana;Other Hall of Residence;2.2,2,2,Your own Hall Canteen;PFC;Other Hall Canteens;Peep Kitchen;Super Duper,7PM-9PM,Gymkhana;2.2,12am-1am,UG,3rd,LBS Hall,EE
663,2021/03/08 1:17:41 pm GMT+5:30,4,3,5,4,Gymkhana;Library;Main Building;Other Hall of Residence;Basketball/Tennis courts;Nalanda;2.2,2,4,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Heritage;Peep Kitchen;Smart Pind;I generally eat in my hall mess,1PM-3PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Library;Basketball/Tennis Courts;Outside Campus,10pm-11pm,UG,5th,Vidyasagar Hall,MA
664,2021/03/08 1:17:58 pm GMT+5:30,6,3,5,5,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;2.2;Outside Campus;Nehru Museum;Other,4,6,Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Food City;Dreamland;Super Duper;Tikka;Billoos;Smart Pind;Subway;I generally eat in my hall mess,11AM-1PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Vikramshila;Tech Market;Outside Campus;Netaji Auditorium,11pm-12am,PG,2nd,SN-IG Hall,EX
665,2021/03/08 1:18:30 pm GMT+5:30,3,5,5,7,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;Outside Campus;Other,2,7,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Food City;VSRC canteen;Tikka;Subway;Other,1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Vikramshila;Tech Market;Outside Campus;A Department,1am-2am,UG,2nd,LBS Hall,ME
666,2021/03/08 1:18:57 pm GMT+5:30,0,2,0,0,Main Building;Tech Market;2.2;A Department,1,0,I generally eat in my hall mess,9PM-11PM,I don't go anywhere,12am-1am,PG,4th,B R Ambedkar Hall,GG
667,2021/03/08 1:18:58 pm GMT+5:30,1,0,1,3,I don't go anywhere,4,0,I generally eat in my hall mess,Never,Nehru Museum,I usually stay in my room,UG,5th,LBS Hall,GG
668,2021/03/08 1:19:37 pm GMT+5:30,5,5,5,8,Gymkhana;Tech Market;Other Hall of Residence;Outside Campus,4,5,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Peep Kitchen;Smart Pind,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana Park;2.2;Tech Market;Outside Campus;Netaji Auditorium,2am-3am,UG,3rd,Nehru Hall,CS
669,2021/03/08 1:19:42 pm GMT+5:30,4,3,5,3,Library;Nalanda;2.2;A Department,2,4,PFC;CCD Mio Amore Area;Super Duper;Smart Pind,5PM-7PM;7PM-9PM,2.2;Library;Tata Sports Complex,11pm-12am,UG,4th,Azad Hall,CS
670,2021/03/08 1:20:06 pm GMT+5:30,4,3,2,1,Gymkhana;Tech Market;Tata Sports Complex,2,2,PFC;CCD Mio Amore Area;Subway;I generally eat in my hall mess,11AM-1PM;5PM-7PM;7PM-9PM,Gymkhana;Tech Market;Outside Campus,9pm-10pm,PG,2nd,MMM Hall,QE
671,2021/03/08 1:20:13 pm GMT+5:30,1,2,3,1,Tech Market;Other Hall of Residence;2.2,2,1,Your own Hall Canteen;Other Hall Canteens,7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tech Market,2am-3am,UG,4th,LLR Hall,ME
672,2021/03/08 1:20:20 pm GMT+5:30,3,2,5,8,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;Outside Campus;A Department;Other,4,5,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Sahara;Subway;Other;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Tech Market;Outside Campus;Netaji Auditorium;Other,2am-3am,UG,2nd,RP Hall,
673,2021/03/08 1:20:53 pm GMT+5:30,4,2,2,2,Gymkhana;Main Building;Tech Market;Tata Sports Complex;Outside Campus,1,3,Your own Hall Canteen;Other Hall Canteens;Outside Campus,5PM-7PM,Other Halls of Residence;Tata Sports Complex;Tech Market;Outside Campus,9pm-10pm,UG,2nd,Vidyasagar Hall,AE
674,2021/03/08 1:21:58 pm GMT+5:30,0,4,2,3,Tech Market;Other Hall of Residence;Basketball/Tennis courts;Outside Campus,2,3,Your own Hall Canteen;Outside Campus;Tech Market,11AM-1PM;3PM-5PM;5PM-7PM,Other Halls of Residence;Gymkhana;Tech Market;Basketball/Tennis Courts;Outside Campus,9pm-10pm,UG,4th,MS Hall,AG
675,2021/03/08 1:22:12 pm GMT+5:30,3,3,1,1,Gymkhana;Library;Main Building;Tech Market;Nalanda;2.2,1,3,Your own Hall Canteen;Tech Market;Peep Kitchen;Sahara;Tikka,5PM-7PM,Gymkhana;2.2;Main Building;Tech Market,I usually stay in my room,UG,3rd,Nehru Hall,IM
676,2021/03/08 1:22:14 pm GMT+5:30,3,2,3,2,Gymkhana;Tech Market;Nalanda;2.2,1,3,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area,7PM-9PM;9PM-11PM,Gymkhana;Tech Market,11pm-12am,UG,3rd,Azad Hall,CS
677,2021/03/08 1:22:45 pm GMT+5:30,3,5,5,4,Gymkhana;Library;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;Outside Campus;A Department,2,5,Your own Hall Canteen;PFC;CCD Mio Amore Area;Super Duper;Tikka;Subway;Other,11AM-1PM;1PM-3PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tech Market;Outside Campus;A Department,11pm-12am,UG,4th,Azad Hall,CE
678,2021/03/08 1:23:33 pm GMT+5:30,3,2,2,2,Library;Tech Market;Tata Sports Complex;Nalanda;Outside Campus;A Department,1,0,I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM,Other Halls of Residence;Library;Outside Campus,9pm-10pm,UG,5th,LBS Hall,ME
679,2021/03/08 1:23:35 pm GMT+5:30,3,2,2,2,Main Building;Tech Market;Other Hall of Residence;Outside Campus,2,3,Other Hall Canteens;Outside Campus;Tech Market;Smart Pind,5PM-7PM,Other Halls of Residence;2.2;Tech Market;Outside Campus,11pm-12am,UG,2nd,RK Hall,
680,2021/03/08 1:24:08 pm GMT+5:30,4,2,4,3,Gymkhana;Library;Tech Market;Tata Sports Complex,2,2,Your own Hall Canteen;PFC;CCD Mio Amore Area,7PM-9PM;9PM-11PM,Tata Sports Complex;Tech Market;Outside Campus,10pm-11pm,UG,2nd,Azad Hall,MF
681,2021/03/08 1:24:37 pm GMT+5:30,2,3,2,2,Main Building;Tech Market;Other Hall of Residence;Vikramshila;2.2,1,1,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Heritage;Tech Market;Tikka;I generally eat in my hall mess,9AM-11AM;5PM-7PM,Other Halls of Residence;Gymkhana,9pm-10pm,UG,2nd,LBS Hall,EC
682,2021/03/08 1:25:10 pm GMT+5:30,4,3,1,4,Other Hall of Residence;Nalanda;A Department,2,2,Your own Hall Canteen;PFC;Other Hall Canteens;Tech Market;Peep Kitchen,5PM-7PM;9PM-11PM,Other Halls of Residence;2.2;Tech Market;Outside Campus,12am-1am,UG,5th,Nehru Hall,
683,2021/03/08 1:25:13 pm GMT+5:30,8,5,5,8,I don't go anywhere,4,10,I generally eat in my hall mess,Never,I don't go anywhere,I usually stay in my room,UG,5th,MT Hall,ME
684,2021/03/08 1:25:17 pm GMT+5:30,2,5,1,1,Tata Sports Complex,1,1,Other Hall Canteens;CCD Mio Amore Area;Veggies;Food City;VSRC canteen,5PM-7PM,2.2,10pm-11pm,UG,4th,LLR Hall,AG
685,2021/03/08 1:25:18 pm GMT+5:30,2,3,5,2,Tech Market;Other Hall of Residence;Basketball/Tennis courts;Vikramshila;2.2,0,2,PFC;Smart Pind;I generally eat in my hall mess,11AM-1PM;3PM-5PM;5PM-7PM,Other Halls of Residence;2.2;Tech Market;I don't go anywhere,12am-1am,UG,4th,Azad Hall,BT
686,2021/03/08 1:25:21 pm GMT+5:30,3,4,5,5,Gymkhana;Library;Main Building;Tech Market;Tata Sports Complex;2.2;Outside Campus,3,2,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;Tech Market;Veggies,11AM-1PM;5PM-7PM;9PM-11PM,Other Halls of Residence;2.2;Main Building;Tata Sports Complex;Tech Market;Netaji Auditorium,2am-3am,UG,2nd,Azad Hall,
687,2021/03/08 1:25:34 pm GMT+5:30,5,2,5,8,Library;Main Building;Tech Market,2,7,PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market,9PM-11PM,Library;Main Building;Tech Market,12am-1am,PG,2nd,Nivedita Hall,EC
688,2021/03/08 1:25:38 pm GMT+5:30,1,3,5,1,Tech Market;Other Hall of Residence;2.2,2,1,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Food City,5PM-7PM,2.2;Tech Market;A Department,9pm-10pm,UG,4th,LBS Hall,CS
689,2021/03/08 1:25:51 pm GMT+5:30,2,2,2,3,Library;Tech Market;Basketball/Tennis courts;Other,2,3,Your own Hall Canteen;Other Hall Canteens;Peep Kitchen;Veggies;Tikka;Subway;I generally eat in my hall mess,11AM-1PM;5PM-7PM;7PM-9PM,Library;Tech Market;Basketball/Tennis Courts;Netaji Auditorium,10pm-11pm,UG,2nd,Azad Hall,EE
690,2021/03/08 1:26:02 pm GMT+5:30,0,1,0,1,Tech Market;2.2,0,0,I generally eat in my hall mess,5PM-7PM;7PM-9PM,2.2,9pm-10pm,PG,2nd,Rani Laxmibai Hall,MA
691,2021/03/08 1:26:13 pm GMT+5:30,3,3,5,3,Main Building;Tech Market;Other Hall of Residence;2.2,3,2,Your own Hall Canteen;Other Hall Canteens,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tata Sports Complex;Tech Market;Basketball/Tennis Courts,10pm-11pm,UG,4th,LBS Hall,GG
692,2021/03/08 1:26:24 pm GMT+5:30,3,2,5,8,Gymkhana;Library;Main Building;Other Hall of Residence;Basketball/Tennis courts;2.2,2,4,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Vikramshila;Tech Market;Basketball/Tennis Courts,11pm-12am,UG,3rd,MMM Hall,CH
693,2021/03/08 1:26:42 pm GMT+5:30,1,2,1,2,Library,1,1,Your own Hall Canteen,11AM-1PM,2.2;Library;Basketball/Tennis Courts,I usually stay in my room,PG,3rd,MMM Hall,MI
694,2021/03/08 1:29:02 pm GMT+5:30,2,2,2,5,Library;Tech Market;Tata Sports Complex;Nalanda,1,4,Your own Hall Canteen;I generally eat in my hall mess,9AM-11AM;7PM-9PM;9PM-11PM,Library;Main Building;Tata Sports Complex;Tech Market,9pm-10pm,UG,3rd,RP Hall,HS
695,2021/03/08 1:29:23 pm GMT+5:30,4,4,2,1,Library;Tech Market;Tata Sports Complex;2.2;A Department,1,1,Your own Hall Canteen;Outside Campus;Tech Market;I generally eat in my hall mess,5PM-7PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Tata Sports Complex;Tech Market,12am-1am,UG,3rd,MMM Hall,CH
696,2021/03/08 1:30:03 pm GMT+5:30,5,3,3,3,Tech Market;Nalanda;2.2;A Department,2,2,PFC;CCD Mio Amore Area;Tech Market;Peep Kitchen;VSRC canteen,7PM-9PM,2.2;Nalanda Complex;Tech Market;A Department,1am-2am,PG,2nd,SAM Hall,CS
697,2021/03/08 1:30:33 pm GMT+5:30,6,2,5,7,Gymkhana;Gymkhana Park;Main Building;Tech Market;Vikramshila;Nalanda;2.2;A Department,4,10,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Veggies;VSRC canteen;Tikka;Billoos;Subway,1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Main Building;Nalanda Complex;Vikramshila;Tech Market;Outside Campus;Other,2am-3am,UG,3rd,MMM Hall,
698,2021/03/08 1:30:49 pm GMT+5:30,1,1,5,2,Gymkhana;Library;Tech Market;Outside Campus,2,2,Tech Market;VSRC canteen;I generally eat in my hall mess,9AM-11AM;5PM-7PM,Gymkhana;Library;Outside Campus,9pm-10pm,PG,1st,B R Ambedkar Hall,EC
699,2021/03/08 1:30:55 pm GMT+5:30,2,3,2,1,Main Building;Tech Market;A Department,1,2,Your own Hall Canteen;Subway;I generally eat in my hall mess,5PM-7PM,Tech Market,I usually stay in my room,UG,5th,LBS Hall,PH
700,2021/03/08 1:30:59 pm GMT+5:30,3,2,5,3,Gymkhana Park;Library;Main Building;Tech Market;2.2,2,1,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market;I generally eat in my hall mess,7PM-9PM;9PM-11PM,Gymkhana Park;2.2;Library;Tech Market,11pm-12am,UG,3rd,SN-IG Hall,
701,2021/03/08 1:31:55 pm GMT+5:30,3,3,5,3,Gymkhana;Gymkhana Park;Main Building;Tech Market;Tata Sports Complex;Basketball/Tennis courts;Nalanda;2.2;A Department,2,1,Your own Hall Canteen;PFC;Tech Market,5PM-7PM;9PM-11PM,2.2;Tech Market;Basketball/Tennis Courts,11pm-12am,UG,3rd,Azad Hall,CH
702,2021/03/08 1:32:07 pm GMT+5:30,1,4,3,3,Library;Tech Market;Other Hall of Residence;2.2,2,4,Your own Hall Canteen;Other Hall Canteens;Veggies;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Tech Market,10pm-11pm,UG,3rd,Nehru Hall,HS
703,2021/03/08 1:32:22 pm GMT+5:30,2,3,3,8,Tech Market;Tata Sports Complex;2.2;Outside Campus,1,10,Your own Hall Canteen;Outside Campus,5PM-7PM;7PM-9PM,2.2;Tech Market;Outside Campus,11pm-12am,UG,2nd,LLR Hall,EX
704,2021/03/08 1:32:34 pm GMT+5:30,0,1,0,0,Gymkhana Park;Tech Market,0,0,Your own Hall Canteen,Never,Gymkhana Park,9pm-10pm,UG,3rd,MMM Hall,CH
705,2021/03/08 1:32:53 pm GMT+5:30,5,4,2,3,Gymkhana;Main Building;Other Hall of Residence;Tata Sports Complex;2.2,2,5,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Subway,3PM-5PM;7PM-9PM,2.2;Tata Sports Complex;Tech Market;Outside Campus,12am-1am,UG,5th,RK Hall,
706,2021/03/08 1:33:25 pm GMT+5:30,2,1,1,1,Library;Tech Market,0,0,I generally eat in my hall mess,5PM-7PM,Library;A Department,I usually stay in my room,UG,3rd,MS Hall,CH
707,2021/03/08 1:33:36 pm GMT+5:30,0,3,5,2,Gymkhana;Tech Market,2,1,Your own Hall Canteen;PFC,5PM-7PM;9PM-11PM,Tata Sports Complex;Tech Market,11pm-12am,PG,3rd,LLR Hall,AG
708,2021/03/08 1:33:41 pm GMT+5:30,5,4,3,4,Gymkhana;Gymkhana Park;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Basketball/Tennis courts;Nalanda;2.2;Other,2,7,Your own Hall Canteen;PFC;Other Hall Canteens;Heritage;Tech Market;Peep Kitchen;Veggies;VSRC canteen;Tikka;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Main Building;Tata Sports Complex;Nalanda Complex;Tech Market;Outside Campus;A Department;Other,12am-1am,UG,2nd,Azad Hall,HS
709,2021/03/08 1:36:04 pm GMT+5:30,2,2,1,2,Tech Market;Other Hall of Residence;Nalanda;2.2,2,5,Your own Hall Canteen;Other Hall Canteens;Tech Market,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM,2.2;Nalanda Complex;Tech Market,11pm-12am,UG,3rd,MS Hall,MI
710,2021/03/08 1:36:30 pm GMT+5:30,1,4,5,4,Tech Market;Other Hall of Residence;Nalanda;2.2;Outside Campus,2,10,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Veggies;Food City;Subway,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Vikramshila;Tech Market;Outside Campus;Netaji Auditorium,1am-2am,UG,5th,Azad Hall,CE
711,2021/03/08 1:36:47 pm GMT+5:30,1,5,5,7,Gymkhana;Main Building;Other Hall of Residence;Vikramshila;2.2;Other,2,7,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Food City;Billoos;I generally eat in my hall mess,11AM-1PM;1PM-3PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2,11pm-12am,UG,2nd,LBS Hall,MA
712,2021/03/08 1:37:10 pm GMT+5:30,3,2,3,2,Tata Sports Complex;2.2,2,5,Your own Hall Canteen;Other Hall Canteens;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tata Sports Complex;Basketball/Tennis Courts,1am-2am,UG,2nd,RP Hall,EX
713,2021/03/08 1:37:11 pm GMT+5:30,2,1,3,2,I don't go anywhere,0,1,Other,1PM-3PM,I don't go anywhere,I usually stay in my room,PG,1st,MMM Hall,EE
714,2021/03/08 1:37:18 pm GMT+5:30,4,2,2,2,Tech Market;Other Hall of Residence;Outside Campus,2,4,Your own Hall Canteen;Other Hall Canteens;Tech Market;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Tech Market;Outside Campus,11pm-12am,PG,2nd,MMM Hall,ME
715,2021/03/08 1:37:36 pm GMT+5:30,4,2,5,4,Other Hall of Residence;Tata Sports Complex;2.2;A Department,3,4,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus,11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tata Sports Complex;Tech Market;A Department,10pm-11pm,UG,3rd,JCB Hall,AR
716,2021/03/08 1:37:55 pm GMT+5:30,8,3,5,5,Other Hall of Residence;Tata Sports Complex;A Department,2,1,PFC;Outside Campus,11AM-1PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Tata Sports Complex;A Department,11pm-12am,UG,3rd,MMM Hall,AR
717,2021/03/08 1:37:55 pm GMT+5:30,0,3,5,2,Tech Market;Tata Sports Complex;2.2,2,0,Your own Hall Canteen;Tech Market;Peep Kitchen;Tikka,7PM-9PM,2.2;Tech Market;A Department,9pm-10pm,PG,5th,B R Ambedkar Hall,ME
718,2021/03/08 1:38:02 pm GMT+5:30,4,5,5,2,Tech Market;Other Hall of Residence;2.2;Outside Campus;Other,2,4,Your own Hall Canteen;PFC;Tech Market;Veggies;Super Duper;Tikka;Billoos;I generally eat in my hall mess,11AM-1PM;5PM-7PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Library;Tech Market,11pm-12am,UG,2nd,LBS Hall,PH
719,2021/03/08 1:38:04 pm GMT+5:30,2,4,4,5,Gymkhana;Library;Main Building;Tech Market;Vikramshila;Nalanda;2.2;A Department;Other,3,7,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Peep Kitchen;Veggies;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tech Market;Netaji Auditorium;Other,1am-2am,UG,4th,LBS Hall,CH
720,2021/03/08 1:39:05 pm GMT+5:30,2,2,3,2,Tech Market;Other Hall of Residence;Nalanda;2.2;Outside Campus;A Department,2,5,PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;Smart Pind;Subway,11AM-1PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tata Sports Complex;Tech Market;Basketball/Tennis Courts;Outside Campus,10pm-11pm,UG,4th,RK Hall,AG
721,2021/03/08 1:39:42 pm GMT+5:30,2,3,3,1,Gymkhana;Gymkhana Park;Tech Market;Other Hall of Residence;Tata Sports Complex;A Department;Nehru Museum;Other,2,3,Your own Hall Canteen;Other Hall Canteens;Tech Market;Veggies;I generally eat in my hall mess,9AM-11AM;7PM-9PM,Other Halls of Residence;Gymkhana;Gymkhana Park;Tata Sports Complex,10pm-11pm,PG,2nd,MMM Hall,AG
722,2021/03/08 1:39:50 pm GMT+5:30,2,2,1,2,Gymkhana;Library;Tech Market;A Department,2,2,Your own Hall Canteen;Tech Market,5PM-7PM,Tech Market,9pm-10pm,PG,2nd,LBS Hall,AG
723,2021/03/08 1:40:21 pm GMT+5:30,0,2,3,0,Tech Market,1,4,Your own Hall Canteen;Other Hall Canteens;Tech Market;Veggies,9AM-11AM;5PM-7PM,Tech Market;A Department,9pm-10pm,UG,2nd,SN-IG Hall,CH
724,2021/03/08 1:41:13 pm GMT+5:30,0,0,1,0,Tech Market;2.2;A Department,2,0,Your own Hall Canteen;I generally eat in my hall mess,5PM-7PM;7PM-9PM,2.2;Tech Market,I usually stay in my room,UG,3rd,SN-IG Hall,CH
725,2021/03/08 1:41:34 pm GMT+5:30,1,1,2,3,Library;Tech Market;Tata Sports Complex;2.2,1,4,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Subway,11AM-1PM;5PM-7PM,Other Halls of Residence;Basketball/Tennis Courts;Outside Campus,11pm-12am,UG,2nd,LBS Hall,CS
726,2021/03/08 1:41:40 pm GMT+5:30,3,2,3,3,Nalanda;2.2;A Department,2,3,Tech Market;Food City;I generally eat in my hall mess,9AM-11AM;11AM-1PM;7PM-9PM;9PM-11PM,2.2;Library;Tech Market;Netaji Auditorium,11pm-12am,UG,4th,MMM Hall,MI
727,2021/03/08 1:41:55 pm GMT+5:30,2,4,4,1,Library;Main Building;Tech Market;Vikramshila;Nalanda;2.2;A Department,2,8,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;Dreamland;Tikka;Billoos,3PM-5PM;5PM-7PM,Library;Main Building;Tech Market,9pm-10pm,UG,3rd,MMM Hall,CH
