,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
422,2021/03/08 12:19:37 pm GMT+5:30,3,3,5,4,Library;Main Building;Tech Market;Nalanda;2.2,1,5,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Tech Market;Tikka;Smart Pind;I generally eat in my hall mess,11AM-1PM;5PM-7PM;7PM-9PM;9PM-11PM,2.2;Library;Main Building;Tech Market;Outside Campus;Netaji Auditorium,11pm-12am,UG,2nd,Patel Hall,MF
423,2021/03/08 12:19:38 pm GMT+5:30,4,3,5,4,Outside Campus,2,4,Your own Hall Canteen;Outside Campus;Food City,1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Outside Campus,11pm-12am,UG,4th,RP Hall,HS
424,2021/03/08 12:19:55 pm GMT+5:30,5,5,3,3,Library;Tech Market;Other Hall of Residence;Basketball/Tennis courts;2.2,2,1,Your own Hall Canteen;Other Hall Canteens;Tech Market,9PM-11PM,Other Halls of Residence;2.2;Library;Main Building;Tech Market,11pm-12am,UG,3rd,MMM Hall,MI
425,2021/03/08 12:19:58 pm GMT+5:30,3,2,1,2,Basketball/Tennis courts,2,2,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area,3PM-5PM;7PM-9PM,Basketball/Tennis Courts,1am-2am,UG,2nd,Nehru Hall,HS
428,2021/03/08 12:20:11 pm GMT+5:30,1,1,1,8,Gymkhana Park;A Department,1,0,I generally eat in my hall mess,5PM-7PM,Tech Market;A Department,9pm-10pm,PG,2nd,B R Ambedkar Hall,IE
429,2021/03/08 12:20:16 pm GMT+5:30,0,2,5,2,Gymkhana;Library;Tech Market;2.2;A Department,1,5,CCD Mio Amore Area;Tech Market;Veggies,7PM-9PM;9PM-11PM,Gymkhana;2.2;Tech Market,1am-2am,PG,2nd,Nivedita Hall,AR
430,2021/03/08 12:20:20 pm GMT+5:30,2,3,5,2,Tech Market;Other Hall of Residence;Outside Campus,2,2,Outside Campus;CCD Mio Amore Area;Tech Market;I generally eat in my hall mess,7PM-9PM,Other Halls of Residence,11pm-12am,PG,2nd,Nivedita Hall,CS
432,2021/03/08 12:20:22 pm GMT+5:30,0,0,1,1,Tech Market,1,0,Your own Hall Canteen,5PM-7PM,Gymkhana;Tech Market,I usually stay in my room,UG,2nd,Azad Hall,HS
433,2021/03/08 12:20:32 pm GMT+5:30,1,3,1,2,Library;Main Building;Tech Market,1,1,Tech Market;VSRC canteen;I generally eat in my hall mess,9AM-11AM;7PM-9PM,Library;Main Building;Tech Market;A Department,9pm-10pm,PG,1st,VSRC,EE
434,2021/03/08 12:20:37 pm GMT+5:30,1,2,3,0,Library;Tech Market;2.2,2,2,CCD Mio Amore Area;Tech Market;Dreamland;Smart Pind,11AM-1PM;5PM-7PM,2.2,11pm-12am,UG,3rd,RP Hall,MI
